epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96244,1.04789,2.86274,1.622,0.0062,1,0.63858,0.3773,0.56147,2.94095,1.37345,0.0003334,0.0003334,0.0003334
2,13.3301,0.92341,2.26746,1.51566,0.00593,1,0.995,0.76986,0.68099,2.7319,1.51814,0.000676704,0.000676704,0.000676704
3,17.754,0.94674,1.77328,1.51849,0.00513,1,0.93377,0.63395,0.93071,2.52196,1.83103,0.00101308,0.00101308,0.00101308
4,21.9135,0.95577,1.62132,1.51248,0.67656,0.52375,0.70451,0.32095,1.37894,2.82776,2.58795,0.00134252,0.00134252,0.00134252
5,26.0103,0.96158,1.55999,1.53669,0.46231,0.65,0.5402,0.2417,1.19876,2.62386,2.60788,0.00160099,0.00160099,0.00160099
6,29.9931,0.92626,1.46529,1.49141,0.47739,0.25,0.42037,0.11302,1.35646,3.23516,2.48578,0.00158448,0.00158448,0.00158448
7,33.9975,0.93055,1.44564,1.5104,0.59022,0.65,0.72945,0.31166,1.46284,2.5043,2.49544,0.00156798,0.00156798,0.00156798
8,37.9681,0.9063,1.32574,1.45299,0.77688,0.5232,0.71688,0.38681,1.54984,2.56984,2.70547,0.00155148,0.00155148,0.00155148
9,41.9381,0.86095,1.29249,1.42138,0.82486,0.95,0.86773,0.5605,1.06883,1.31606,2.10702,0.00153497,0.00153497,0.00153497
10,45.9081,0.85061,1.1743,1.41396,0.93885,0.76843,0.95644,0.5816,0.96813,1.74597,1.87487,0.00151847,0.00151847,0.00151847
11,49.8677,0.81779,1.20821,1.41164,0.77068,0.85,0.91472,0.71176,0.81086,1.74166,1.64884,0.00150197,0.00150197,0.00150197
12,53.8599,0.80773,1.13907,1.39701,0.90678,0.97326,0.97538,0.59245,1.23578,1.87562,2.38536,0.00148546,0.00148546,0.00148546
13,57.82,0.849,1.15629,1.4103,0.91013,0.8,0.94411,0.73282,0.85563,2.66425,1.7476,0.00146896,0.00146896,0.00146896
14,61.8591,0.80446,1.09808,1.36794,0.94336,1,0.995,0.71315,0.8813,1.41523,1.80307,0.00145246,0.00145246,0.00145246
15,65.822,0.77013,1.0686,1.3832,0.93024,0.95,0.96848,0.74429,0.8026,1.67044,1.68827,0.00143595,0.00143595,0.00143595
16,69.7897,0.80571,1.11062,1.37441,0.90453,1,0.98045,0.7978,0.71724,0.85266,1.57046,0.00141945,0.00141945,0.00141945
17,73.7729,0.74171,1.01841,1.33259,0.89375,0.84157,0.95642,0.7554,0.90353,2.05774,1.81775,0.00140295,0.00140295,0.00140295
18,77.6827,0.738,0.97035,1.33105,0.89773,0.87845,0.95768,0.68275,0.85647,1.98332,1.75369,0.00138644,0.00138644,0.00138644
19,81.6348,0.74954,0.97711,1.33616,0.84333,0.53897,0.81776,0.65907,0.86875,2.59963,1.77103,0.00136994,0.00136994,0.00136994
20,85.5916,0.82712,1.02817,1.39681,0.81164,0.21746,0.65418,0.405,1.29411,4.43271,2.14102,0.00135344,0.00135344,0.00135344
